professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,licensing_body,after_undergrad,self_employment,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
Engineering & Making,eng-civil-engineer,Civil Engineer,"Designs and supervises the building of roads, bridges, dams and buildings.",Site Engineer | Structural Engineer | Highway Engineer | Geotechnical Engineer | Water Resources Engineer | Construction Planning Engineer | Quantity Surveyor,CSDCI | IESC | EXT-GOVT | SCGJ | IISSSC,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,work_first,possible_later,low,"Drawing production and routine calculation are exposed. Judging ground conditions on site, and carrying responsibility for a structure that must not fall down, are not.","[Site Engineer, Construction Planning Engineer] higher: bodily, confidence, extraversion / lower: spatial, attention_span",4,6.0,3.0-6.0,8.0-14.0,1.33,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Civil Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,"[class12_prerequisite] Chemistry is NOT compulsory for engineering. JEE Main Paper 1 requires Physics and Maths plus any one of Chemistry, Biology, Biotechnology or a vocational subject — so Physics + Maths + Computer Science qualifies. This applies to every B.Tech profession in this sector."
Engineering & Making,eng-mechanical-engineer,Mechanical Engineer,"Designs and maintains machines, engines, vehicles and the systems that manufacture things.",Design Engineer | Production Engineer | Maintenance Engineer | Quality Engineer | HVAC Design Engineer | Tool & Die Engineer | Industrial Engineer | Piping Design Engineer | Turbomachinery Engineer | Rolling Stock / Railway Engineer | Vehicle Design Engineer | Powertrain Engineer | EV Systems Engineer | Vehicle Testing Engineer,CGSC | SMSSC | ASDC | AASSC | IISSSC | HYSSC | PSSC | EXT-GOVT,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,work_first,possible_later,low,"CAD drafting and standard calculation are exposed. Diagnosing why a machine actually fails on the shop floor, and designing for real manufacturing constraints, are not.","[Production Engineer, Maintenance Engineer, Quality Engineer] higher: conscientiousness, attention_span, bodily / lower: openness, spatial",4,6.0,3.0-6.5,5.0-12.0,1.26,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Mechanical Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,"[entry_window] The diploma and B.Sc lateral-entry bypass generally has no upper age limit, but some states cap it between 18 and 26. Confirm the rule for the student's state before relying on it. Applies to every B.Tech profession in this sector. || [job_roles] Automobile engineering is folded in here. It shares the same skill set as mechanical engineering — thermodynamics, mechanics, CAD, materials, manufacturing — and differs only by industry. Two professions with the same skill profile would always surface together in a psychometric recommender, adding noise without information. Students drawn to vehicles should find this through the automotive industrial tag and the vehicle job roles."
Engineering & Making,eng-electrical-engineer,Electrical Engineer,Designs and looks after the systems that generate and carry electricity.,Power Systems Engineer | Substation Engineer | Electrical Design Engineer | Transmission & Distribution Engineer | Testing & Commissioning Engineer | Solar Plant Engineer | Wind Energy Engineer | Grid Integration Engineer,PSSC | CGSC | SCGJ | CSDCI | IISSSC | EXT-GOVT,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,work_first,possible_later,low,"Load calculations and drawing work are exposed. Commissioning live equipment, where a mistake is lethal and irreversible, is not.","[Testing & Commissioning Engineer, Substation Engineer] higher: bodily, confidence, conscientiousness / lower: openness",4,6.0,3.0-6.0,6.0-12.0,1.33,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Electrical Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,"[job_roles] Renewable energy engineering is NOT a separate profession — it is electrical engineering applied to solar and wind. A coverage probe found the skill set already here, with the certificate tier covered by Solar Panel Technician. India's renewable targets are growing these roles fast."
Engineering & Making,eng-electronics-communication-engineer,Electronics & Communication Engineer,"Designs the circuits and signal systems inside phones, networks and electronic devices.",Electronics Design Engineer | PCB Design Engineer | RF Engineer | Telecom Network Engineer | Test & Validation Engineer,ESSCI | TSSC | AASSC | SMSSC | IASC,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,work_first,rare,low,"Schematic capture and routine PCB layout are exposed. Debugging a board that works in simulation and fails on the bench is physical, and stays human.",,4,6.0,3.5-7.0,7.0-14.0,1.14,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Electronics & Communication (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,
Engineering & Making,eng-chip-design-engineer,Chip Design Engineer,Designs the microchips that run every electronic device.,VLSI Design Engineer | Physical Design Engineer | Design Verification Engineer | Analog Design Engineer | FPGA Engineer | DFT Engineer,ESSCI | SMSSC | IT-ITES,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,masters_advantage,rare,medium,"Highest-paying entry in the sector and the most digital, so more exposed than other engineering branches. Deep device physics and debugging silicon that behaves unlike its model remain human.",,4,6.0,8.0-16.0,18.0-35.0,0.5,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Electronics / VLSI (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,REVIEW,medium,Salary band is the highest in Sector 2 and rests on the current India Semiconductor Mission investment cycle. If that funding slows the band could be badly wrong. Verify against actual VLSI fresher offers before shipping.,
Engineering & Making,eng-chemical-engineer,Chemical Engineer,"Designs the large-scale processes that turn raw materials into fuels, medicines and plastics.",Process Engineer | Plant Operations Engineer | Quality Control Engineer | Process Design Engineer,HYSSC | LSSSDC | PCSC | RSDC | FICSI | SCGJ,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,work_first,rare,low,"Process simulation is exposed. Judging plant safety, and being accountable when a reaction runs away, are not.","[Plant Operations Engineer] higher: bodily, confidence, attention_span / lower: openness, spatial",4,6.0,3.5-7.0,7.0-14.0,1.14,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Chemical Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,
Engineering & Making,eng-aerospace-engineer,Aerospace Engineer,"Designs aircraft, rockets and satellites, and the systems that fly them.",Aerodynamics Engineer | Aircraft Structures Engineer | Propulsion Engineer | Avionics Engineer | Flight Test Engineer | Satellite Systems Engineer,AASSC | EXT-DEFENCE | EXT-RND | SMSSC,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,masters_advantage,rare,low,Highest foundational-knowledge share in the sector. Simulation work is exposed; certifying that a design is safe to fly carries consequence a model cannot hold.,,4,6.0,4.0-8.0,8.0-16.0,1.0,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Aerospace / Aeronautical Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,
Engineering & Making,eng-mining-engineer,Mining Engineer,"Plans how to extract coal, ore and minerals from the earth safely.",Mine Planning Engineer | Mine Safety Officer | Blasting Engineer | Mineral Processing Engineer | Ventilation Engineer,SCMS | IISSSC | EXT-GOVT | SCGJ,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,work_first,rare,low,"Underground work cannot be done remotely, and statutory safety duties sit with a named person. Planning software is exposed; being the accountable officer below ground is not.","[Mine Safety Officer] higher: emotional_intelligence, verbal, dogmatism / lower: spatial",4,6.0,5.0-9.0,10.0-18.0,0.86,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Mining Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,REVIEW,medium,"Statutory positions require DGMS (Directorate General of Mines Safety) certificates of competency on top of the degree — this is a real second gate not yet verified. Also confirm the salary band, which is unusually high for a fresher and reflects PSU pay scales.",
Engineering & Making,eng-metallurgical-materials-engineer,Metallurgical & Materials Engineer,"Works out which metals and materials to use, and why things break.",Metallurgist | Materials Engineer | Failure Analysis Engineer | Foundry Engineer | Welding Engineer | Heat Treatment Engineer,IISSSC | SMSSC | CGSC | ASDC,undergrad,restart_undergrad,physics + maths,JEE Main Paper 1 | JEE Advanced | BITSAT | VITEEE | SRMJEEE | COMEDK,,masters_advantage,rare,low,Failure analysis needs hands on the broken part and a microscope. Materials selection tables are exposed; judging why a component failed in service is not.,,4,6.0,3.5-7.0,7.0-13.0,1.14,yes,,"class_11_12: Physics and Maths compulsory, plus one of Chemistry/Biology/Vocational -> entrance_exam: JEE Main Paper 1, or a state or private engineering entrance -> degree: B.Tech in Metallurgical & Materials Engineering (4 years) -> specialisation: Internships and site or plant exposure decide who gets hired","route limit: JEE Main — admits only recent class 12 passouts | bypass: 3-year engineering diploma, then lateral entry into B.Tech year 2 (generally no upper age limit); B.Sc graduate lateral entry into B.Tech year 2; Private university admission",verified,data/verified_facts.json#jee-main-paper1-btech,,,,
Engineering & Making,eng-marine-engineer,Marine Engineer,Runs and maintains the engines and machinery of ships at sea.,Marine Engineer Officer | Engine Room Watchkeeper | Shipyard Engineer | Port & Dock Engineer | Marine Surveyor,LSC | SMSSC | HYSSC,professional,restart_undergrad,physics + maths,IMU CET,Directorate General of Shipping (DG Shipping),work_first,rare,low,"Among the least exposed careers in the dataset. The work is physical, at sea, on machinery, and a licensed officer must hold the watch. Remote and autonomous shipping is decades from replacing this.","[Marine Surveyor, Shipyard Engineer, Port & Dock Engineer] higher: verbal, conscientiousness / lower: bodily, neuroticism",4,12.0,6.0-12.0,15.0-30.0,1.33,yes,,"class_11_12: Physics, Chemistry and Maths, usually with 60% and English at 50% -> entrance_exam: IMU CET or a DG Shipping approved institute entrance -> degree: B.Tech Marine Engineering at a DG Shipping approved institute (4 years) -> sea_time: Mandatory sea service on board ship -> licence: Certificate of Competency from the Directorate General of Shipping",,verified,data/verified_facts.json#dgshipping-meo-coc,REVIEW,medium,"DG Shipping approval status of institutes, sea-time requirements and CoC examination structure are all unverified. Salary looks high because it is tax-advantaged sea pay — confirm how that is presented to students.","[path_to_entry] Only DG Shipping approved institutes lead to a Certificate of Competency. A degree from a non-approved college does not qualify you to sail. College choice is itself a gate here, unlike most engineering."
