professional_sector,id,profession,one_liner,job_roles,industrial_sectors,degree_dependency,mid_stream_entry,class12_prerequisite,entrance_exams,licensing_body,after_undergrad,self_employment,ai_exposure,ai_reason,role_spread,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,payback_years,ship,failed_rules,path_to_entry,entry_window,verified,source,admin_review,review_priority,review_reason,nuances
Science & Research,sci-physicist,Physicist,"Studies how matter and energy behave, from particles to galaxies.",Research Scientist (Physics) | Experimental Physicist | Theoretical Physicist | Optics & Photonics Scientist | Nuclear Scientist | Instrumentation Scientist,EXT-RND | EXT-EDU | EXT-DEFENCE | AASSC | ESSCI | PSSC,undergrad,restart_undergrad,physics + maths,CUET (B.Sc) | IIT JAM (M.Sc) | CSIR-UGC NET / JRF (PhD),,masters_required,rare,low,"Literature search and routine computation are exposed. Deciding which experiment is worth running, and knowing when a result is an artefact rather than a discovery, is not.","[Theoretical Physicist] higher: logical, existential, openness / lower: bodily, conscientiousness",9,3.0,8-14,14-24,0.27,yes,,"class_11_12: Science stream with Physics and Maths -> degree: B.Sc Physics (3 years), or a 4-year UG under NEP -> post_graduate: M.Sc Physics (2 years) — skippable with a 4-year UG at 75 percent -> fellowship: Clear CSIR-UGC NET / JRF for a funded PhD place -> doctorate: PhD (4-5 years). This is the entry ticket to a research post.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,,,,"[degree_dependency] 'undergrad' is the ceiling of this four-tier scale, but a B.Sc alone does NOT get you a research post — a PhD does. The scale reserves 'professional' for statutory licensing, which research is not. Read degree_dependency together with after_undergrad: masters_required. || [after_undergrad] A doctorate is required, but the MASTER'S can now be skipped. Under UGC/NEP rules a four-year undergraduate degree with 75 percent allows direct entry to NET and to a PhD without an M.Sc. That removes two years from the runway and is not widely known. || [economics] The long runway is FUNDED, not self-funded. CSIR-UGC JRF pays Rs 37,000 a month for two years, rising to Rs 42,000 as SRF — roughly 4.4 to 5.0 LPA through the PhD. But it is a stipend, not a salary: no PF, no gratuity, and it ends. That is why cost_of_entry is low despite nine years."
Science & Research,sci-chemist,Chemist,Studies what substances are made of and creates new ones.,Research Scientist (Chemistry) | Synthetic Chemist | Analytical Chemist | Polymer Scientist | Electrochemist | Catalysis Scientist,EXT-RND | LSSSDC | PCSC | RSDC | HYSSC | EXT-EDU | FICSI,undergrad,restart_undergrad,chemistry,CUET (B.Sc) | IIT JAM (M.Sc) | CSIR-UGC NET / JRF (PhD),,masters_required,rare,low,"Bench work is physical and unavoidable — a reaction has to be run, worked up and characterised by hand. Reaction prediction is increasingly assisted; making it work is not.",,9,3.0,7-12,12-22,0.32,yes,,"class_11_12: Science stream with Chemistry -> degree: B.Sc Chemistry (3 years), or a 4-year UG under NEP -> post_graduate: M.Sc Chemistry (2 years) — skippable with a 4-year UG at 75 percent -> fellowship: Clear CSIR-UGC NET / JRF for a funded PhD place -> doctorate: PhD (4-5 years). This is the entry ticket to a research post.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,,,,"[degree_dependency] 'undergrad' is the ceiling of this four-tier scale, but a B.Sc alone does NOT get you a research post — a PhD does. The scale reserves 'professional' for statutory licensing, which research is not. Read degree_dependency together with after_undergrad: masters_required. || [after_undergrad] A doctorate is required, but the MASTER'S can now be skipped. Under UGC/NEP rules a four-year undergraduate degree with 75 percent allows direct entry to NET and to a PhD without an M.Sc. That removes two years from the runway and is not widely known. || [economics] The long runway is FUNDED, not self-funded. CSIR-UGC JRF pays Rs 37,000 a month for two years, rising to Rs 42,000 as SRF — roughly 4.4 to 5.0 LPA through the PhD. But it is a stipend, not a salary: no PF, no gratuity, and it ends. That is why cost_of_entry is low despite nine years."
Science & Research,sci-biologist,Biologist,"Studies how living things work, from cells to whole ecosystems.",Research Scientist (Life Sciences) | Molecular Biologist | Geneticist | Cell Biologist | Physiologist | Immunologist,EXT-RND | LSSSDC | HSSC | EXT-EDU | ASCI,undergrad,restart_undergrad,biology,CUET (B.Sc) | IIT JAM (M.Sc) | CSIR-UGC NET / JRF (PhD),,masters_required,rare,low,Wet-lab work is hands-on and slow. Protocol lookup is exposed; designing an experiment that actually isolates the variable you care about is not.,,9,3.0,6-11,11-20,0.35,yes,,"class_11_12: Science stream with Biology -> degree: B.Sc Life Sciences / Zoology / Botany (3 years), or a 4-year UG under NEP -> post_graduate: M.Sc Life Sciences (2 years) — skippable with a 4-year UG at 75 percent -> fellowship: Clear CSIR-UGC NET / JRF for a funded PhD place -> doctorate: PhD (4-5 years). This is the entry ticket to a research post.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,,,,"[degree_dependency] 'undergrad' is the ceiling of this four-tier scale, but a B.Sc alone does NOT get you a research post — a PhD does. The scale reserves 'professional' for statutory licensing, which research is not. Read degree_dependency together with after_undergrad: masters_required. || [after_undergrad] A doctorate is required, but the MASTER'S can now be skipped. Under UGC/NEP rules a four-year undergraduate degree with 75 percent allows direct entry to NET and to a PhD without an M.Sc. That removes two years from the runway and is not widely known. || [economics] The long runway is FUNDED, not self-funded. CSIR-UGC JRF pays Rs 37,000 a month for two years, rising to Rs 42,000 as SRF — roughly 4.4 to 5.0 LPA through the PhD. But it is a stipend, not a salary: no PF, no gratuity, and it ends. That is why cost_of_entry is low despite nine years."
Science & Research,sci-microbiologist,Microbiologist,"Studies bacteria, viruses and fungi — how they live and how to control them.",Microbiologist | Industrial Microbiologist | Food Safety Microbiologist | Virologist | Fermentation Scientist | Sterility Assurance Specialist,LSSSDC | FICSI | HSSC | EXT-RND | ASCI,undergrad,restart_undergrad,biology,CUET (B.Sc) | IIT JAM (M.Sc),,masters_required,rare,low,"Culture work, plating and sterile technique are physical and cannot be simulated away. Pharma and food industries also require a named human to sign off on sterility.",,5,2.5,4-8,8-15,0.42,yes,,class_11_12: Science stream with Biology -> degree: B.Sc Microbiology (3 years) -> post_graduate: M.Sc Microbiology — the normal hiring entry for industry -> industry_or_research: Pharma and food QC hire at M.Sc; research posts need a PhD,,judgment,,,,,
Science & Research,sci-biotechnologist,Biotechnologist,"Uses living cells and enzymes to make medicines, vaccines and materials.",Biotechnologist | Bioprocess Scientist | Upstream / Downstream Process Scientist | Vaccine Development Scientist | Genetic Engineer | Bioreactor Specialist,LSSSDC | EXT-RND | FICSI | ASCI | HSSC,undergrad,restart_undergrad,biology,CUET (B.Sc) | IIT JAM (M.Sc),,masters_required,rare,low,"Process development happens in bioreactors, not in text. India's biosimilar and vaccine manufacturing base makes this one of the more industrially grounded science careers.",,5,4.0,5-10,10-18,0.53,yes,,class_11_12: Science stream with Biology -> degree: B.Sc or B.Tech Biotechnology -> post_graduate: M.Sc / M.Tech Biotechnology -> industry_or_research: Biopharma manufacturing hires at PG; discovery roles need a PhD,,judgment,,,,,
Science & Research,sci-bioinformatics-scientist,Bioinformatics Scientist,Uses computers to make sense of genetic and biological data.,Bioinformatics Scientist | Computational Biologist | Genomics Data Scientist | Structural Bioinformatician | Pipeline Developer (Genomics),LSSSDC | IT-ITES | EXT-RND | HSSC,undergrad,restart_undergrad,biology,CUET (B.Sc) | IIT JAM (M.Sc),,masters_required,possible_later,medium,The most exposed profession in this sector — the output is code and analysis on a screen. What protects it is knowing which biological question the data can actually answer.,,5,4.0,6-12,12-22,0.44,yes,,"class_11_12: Science stream with Biology; Maths helps a great deal -> degree: B.Sc Biotechnology, Life Sciences or Computer Science -> post_graduate: M.Sc Bioinformatics or Computational Biology -> skills: Python, R and genomics pipelines decide who gets hired",,judgment,,,,,
Science & Research,sci-geologist,Geologist,"Studies rocks and the earth to find minerals, water and oil.",Geologist | Exploration Geologist | Hydrogeologist | Mining Geologist | Petroleum Geologist | Engineering Geologist | Seismologist,SCMS | HYSSC | EXT-GOVT | EXT-RND | SCGJ | CSDCI,undergrad,restart_undergrad,physics + chemistry,CUET (B.Sc) | IIT JAM (M.Sc) | GATE (PSU recruitment),,masters_required,rare,low,Field mapping means being physically on the rock. Remote sensing and modelling are exposed; interpreting what the ground is actually doing is not.,"[Exploration Geologist, Engineering Geologist] higher: bodily, naturalistic, confidence / lower: attention_span",5,3.0,6-12,12-22,0.33,yes,,"class_11_12: Science stream -> degree: B.Sc Geology (3 years) -> post_graduate: M.Sc Geology or Applied Geology — the standard hiring entry -> employment: Geological Survey of India, ONGC, Coal India and mining firms recruit at M.Sc",,judgment,,,,,"[entrance_exams] The Geological Survey of India and ONGC recruit through their own examinations and through GATE, not through the academic entrances listed. For government geology posts those are the real gate."
Science & Research,sci-atmospheric-ocean-scientist,Atmospheric & Ocean Scientist,"Studies weather, climate and the sea to forecast and understand them.",Meteorologist | Climate Scientist | Oceanographer | Weather Forecaster | Climate Modeller | Marine Data Scientist,EXT-RND | EXT-GOVT | SCGJ | AASSC | ASCI,undergrad,restart_undergrad,physics + maths,CUET (B.Sc) | IIT JAM (M.Sc) | CSIR-UGC NET / JRF (PhD),,masters_required,rare,low,"Numerical modelling is heavily computational and partly exposed. Judging when a model is wrong about the real atmosphere, and owning a forecast people act on, is not.",,9,3.0,6-11,11-19,0.35,yes,,"class_11_12: Science stream with Physics and Maths -> degree: B.Sc Physics / Maths / Earth Science (3 years), or a 4-year UG under NEP -> post_graduate: M.Sc Atmospheric Science / Oceanography (2 years) — skippable with a 4-year UG at 75 percent -> fellowship: Clear CSIR-UGC NET / JRF for a funded PhD place -> doctorate: PhD (4-5 years). This is the entry ticket to a research post.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,,,,"[degree_dependency] 'undergrad' is the ceiling of this four-tier scale, but a B.Sc alone does NOT get you a research post — a PhD does. The scale reserves 'professional' for statutory licensing, which research is not. Read degree_dependency together with after_undergrad: masters_required. || [after_undergrad] A doctorate is required, but the MASTER'S can now be skipped. Under UGC/NEP rules a four-year undergraduate degree with 75 percent allows direct entry to NET and to a PhD without an M.Sc. That removes two years from the runway and is not widely known. || [economics] The long runway is FUNDED, not self-funded. CSIR-UGC JRF pays Rs 37,000 a month for two years, rising to Rs 42,000 as SRF — roughly 4.4 to 5.0 LPA through the PhD. But it is a stipend, not a salary: no PF, no gratuity, and it ends. That is why cost_of_entry is low despite nine years."
Science & Research,sci-space-scientist,Astronomer & Space Scientist,"Studies stars, planets and space, and builds the instruments that observe them.",Astronomer | Astrophysicist | Planetary Scientist | Space Instrumentation Scientist | Satellite Payload Scientist | Remote Sensing Scientist,AASSC | EXT-RND | EXT-DEFENCE | EXT-GOVT | EXT-EDU,undergrad,restart_undergrad,physics + maths,CUET (B.Sc) | IIT JAM (M.Sc) | CSIR-UGC NET / JRF (PhD),,masters_required,rare,low,"Highest foundational-knowledge share in the sector. Data reduction is exposed; deciding what a signal means, and designing an instrument that can detect it at all, is not.",,9,3.0,8-14,14-25,0.27,yes,,"class_11_12: Science stream with Physics and Maths -> degree: B.Sc Physics (3 years), or a 4-year UG under NEP -> post_graduate: M.Sc Physics / Astronomy (2 years) — skippable with a 4-year UG at 75 percent -> fellowship: Clear CSIR-UGC NET / JRF for a funded PhD place -> doctorate: PhD (4-5 years). This is the entry ticket to a research post.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,REVIEW,medium,"ISRO and IIST recruit through their own examinations and IIST admissions, which are not captured in entrance_exams. Verify the ISRO Scientist/Engineer entry route before shipping.","[degree_dependency] 'undergrad' is the ceiling of this four-tier scale, but a B.Sc alone does NOT get you a research post — a PhD does. The scale reserves 'professional' for statutory licensing, which research is not. Read degree_dependency together with after_undergrad: masters_required. || [after_undergrad] A doctorate is required, but the MASTER'S can now be skipped. Under UGC/NEP rules a four-year undergraduate degree with 75 percent allows direct entry to NET and to a PhD without an M.Sc. That removes two years from the runway and is not widely known. || [economics] The long runway is FUNDED, not self-funded. CSIR-UGC JRF pays Rs 37,000 a month for two years, rising to Rs 42,000 as SRF — roughly 4.4 to 5.0 LPA through the PhD. But it is a stipend, not a salary: no PF, no gratuity, and it ends. That is why cost_of_entry is low despite nine years."
Science & Research,sci-materials-scientist,Materials Scientist,"Designs new materials — stronger metals, better batteries, semiconductors.",Materials Scientist | Nanotechnology Researcher | Battery Materials Scientist | Semiconductor Materials Scientist | Ceramics & Composites Scientist | Corrosion Scientist,EXT-RND | ESSCI | IISSSC | SMSSC | PSSC | ASDC,undergrad,restart_undergrad,physics + chemistry + maths,CUET (B.Sc) | IIT JAM (M.Sc) | CSIR-UGC NET / JRF (PhD),,masters_required,rare,low,Characterisation is hands-on instrument work. India's semiconductor and battery investments are expanding this field rather than shrinking it.,,9,4.0,7-13,13-24,0.4,yes,,"class_11_12: Science stream with Physics, Chemistry and Maths -> degree: B.Sc Physics / Chemistry / Materials (3 years), or a 4-year UG under NEP -> post_graduate: M.Sc Materials Science (2 years) — skippable with a 4-year UG at 75 percent -> fellowship: Clear CSIR-UGC NET / JRF for a funded PhD place -> doctorate: PhD (4-5 years). This is the entry ticket to a research post.",,verified,data/verified_facts.json#csir-jrf-srf-stipend,,,,"[degree_dependency] 'undergrad' is the ceiling of this four-tier scale, but a B.Sc alone does NOT get you a research post — a PhD does. The scale reserves 'professional' for statutory licensing, which research is not. Read degree_dependency together with after_undergrad: masters_required. || [after_undergrad] A doctorate is required, but the MASTER'S can now be skipped. Under UGC/NEP rules a four-year undergraduate degree with 75 percent allows direct entry to NET and to a PhD without an M.Sc. That removes two years from the runway and is not widely known. || [economics] The long runway is FUNDED, not self-funded. CSIR-UGC JRF pays Rs 37,000 a month for two years, rising to Rs 42,000 as SRF — roughly 4.4 to 5.0 LPA through the PhD. But it is a stipend, not a salary: no PF, no gratuity, and it ends. That is why cost_of_entry is low despite nine years."
